FIPS,Pollution,PopChar,Score,Percentile,Range,Region
06037192700,7.424050614852141,7.954287330988221,59.053031750333695,96.46821392532794,96-100%,South Coast
06037192620,6.599085806444864,8.291023900040418,54.713178139651866,94.19778002018163,91-95%,South Coast
06037192610,6.885373308905645,7.669532131529201,52.80759183022538,92.77245206861757,91-95%,South Coast
06037192520,5.50197489223053,7.444741579408149,40.960781249048296,79.95711402623613,76-80%,South Coast
06037192510,5.212253426441549,7.87048375608059,41.02295592538361,80.05802219979819,81-85%,South Coast
06037192420,5.185302055257237,6.670980009660097,34.591046354670446,70.20686175580222,71-75%,South Coast
06037192410,5.524283187595756,4.465548937386756,24.66895691819175,52.08123107971746,51-55%,South Coast
06037192300,6.6851011493404,2.9440935653978704,19.68156327780698,40.930877901109994,41-45%,South Coast
06037192002,5.734201877053118,1.8606655326812194,10.669431790068687,17.091321897073662,16-20%,South Coast
06037192001,6.9723279790200765,4.87497901855336,33.98995260819542,69.39959636730575,66-70%,South Coast
06037191902,7.9277131935973975,3.4164973492118946,27.085011111237673,56.79868819374369,56-60%,South Coast
06037191901,8.051880652444968,5.165674971222751,41.59339835760769,80.82744702320888,81-85%,South Coast
06037191820,7.511014024861343,6.383314316706489,47.94516335788064,88.15590312815338,86-90%,South Coast
06037191810,7.642006625218923,7.992638537520779,61.07979665671388,97.30070635721493,96-100%,South Coast
06037191720,5.885635329850696,8.145243794469197,47.93993464697505,88.14328960645813,86-90%,South Coast
06037191710,5.299164331074538,8.631523139515929,45.739859543767324,85.84762865792129,86-90%,South Coast
06037191620,6.167944576451401,8.145863750463683,50.243236140184536,90.56508577194752,91-95%,South Coast
06037191610,6.288657590057937,7.432218562501667,46.738677674045604,86.9702320887992,86-90%,South Coast
06037191500,6.394966485773993,7.844054508849734,50.162465696678424,90.47679112008072,91-95%,South Coast
06037191420,6.588067826933935,7.085669069654267,46.680868430090186,86.86932391523713,86-90%,South Coast
06037191410,5.873011689876584,8.184747882291681,48.06911999139166,88.38294651866802,86-90%,South Coast
06037191302,5.482166836286164,6.520663310528008,35.7473641515646,72.21241170534813,71-75%,South Coast
06037191301,5.258740053951316,8.408262851971367,44.21686864381275,84.11957618567104,81-85%,South Coast
06037191204,5.883939478562948,7.426226790867981,43.695468991549944,83.36276488395559,81-85%,South Coast
06037191203,5.400265136943673,7.2495989078057566,39.14975623864836,77.32088799192735,76-80%,South Coast
06037191201,6.137297641608913,8.162793801626254,50.09749514766066,90.41372351160445,91-95%,South Coast
06037191120,6.773258959480561,7.515816077836066,50.90656858701118,91.18314833501515,91-95%,South Coast
06037191110,6.723161776318465,6.77882970045051,45.57516873024122,85.70887991927346,86-90%,South Coast
06037191000,6.9333038085916074,8.10835310712812,56.21767547905699,95.03027245206862,96-100%,South Coast
06037190902,6.830824991459585,7.3121121258868484,49.94775824986256,90.21190716448032,91-95%,South Coast
06037190901,6.888937351204721,7.734642510901639,53.283467691566166,93.25176589303733,91-95%,South Coast
06037190802,7.612171253779799,6.676949199267133,50.82608075760932,91.08224016145307,91-95%,South Coast
06037190801,7.1130852628681485,8.113526664201514,57.71220694501955,95.76185671039354,96-100%,South Coast
06037190700,7.264409386305161,6.99734155587798,50.831553677703155,91.09485368314833,91-95%,South Coast
06037190520,6.035354628920753,8.34777192578802,50.381763933479434,90.74167507568113,91-95%,South Coast
06037190510,6.6063626513861635,8.477813731240158,56.00751199947375,94.87891019172552,91-95%,South Coast
06037190402,5.606772596578136,5.960040162329063,33.4165898566517,68.36528758829465,66-70%,South Coast
06037190401,5.510436436630778,7.640565051558291,42.10284805655452,81.34460141271444,81-85%,South Coast
06037190301,6.264627828790294,6.029973665831291,37.77554083383933,75.27749747729567,76-80%,South Coast
06037190202,5.324481698866994,6.897939927556868,36.72795490416046,73.66296670030272,71-75%,South Coast
